Model,R,MSE,SSIM,PSNR
Direct,0.8711689939780387,0.23494136375692337,0.7700519088209734,36.42093694185885
Separate,0.8277431447463369,0.41373295158161544,0.6873200956602723,34.428767242187945
Indirect,0.8321747741918161,0.376124218470619,0.6943311001866641,34.58257102117106
