Model,Variable,R,MSE,SSIM,PSNR
baseline_TS,slp,0.8573076394157025,0.26382865915920617,0.7975790931948401,45.906576664160795
baseline_TS,z300,0.9314943473443369,0.1384943313120377,0.8460892088802326,45.61704163331725
baseline_TS,z500,0.8967981376023019,0.20644593308740727,0.8263368331757741,47.029595991429126
baseline_TS,u10,0.8047859771128179,0.3643371609215226,0.7534912872188564,37.06171788717046
baseline_TS,v10,0.7660622323754807,0.44356581157183894,0.7113509165642722,36.24232006197954
