Model,Variable,R,MSE,SSIM,PSNR
baseline_TS,slp,0.7626261204910479,0.4388574236977507,0.6632017335246428,35.88482312682726
baseline_TS,z300,0.8858945046369703,0.2306827377446233,0.7438029733849124,33.737641098018976
baseline_TS,z500,0.8280928377997862,0.3438831944434961,0.7107882880157442,35.10284026605256
baseline_TS,u10,0.6904036657283399,0.5781429295428244,0.6094702063683545,32.68281227704393
baseline_TS,v10,0.6272821636503196,0.7079357291552676,0.5414754502143299,31.660848177472847
